system:index,category,extremeMonths,meanNino,meanSST,onsetRate,peakMonth,peakSST,peakValue,strongMonths,year,.geo
0,El Nino,1,0.8317439564592811,27.82437782522177,0.7871566872947771,12.0,28.8624487935857,2.3196282647902713,3,1982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Neutral,1,0.2747450796700139,27.26737681002552,-1.4942131849560696,1.0,28.70314140154464,2.115678971056362,2,1983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,La Nina,0,-0.6827856759436912,26.31037296006443,0.15314890238298118,2.0,27.254834532314298,-0.22162110619932432,0,1984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,La Nina,0,-0.7954415998180028,26.197621596675376,0.4590639078258001,11.0,26.782111559287724,-0.3640450355864989,0,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Neutral,0,-0.006126182223843812,26.986510738289464,0.613134228086399,12.0,27.464440915173952,0.9216064707630136,0,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,El Nino,0,0.9474014786804429,27.940039354023487,-0.013954025736375941,9.0,28.424216545764583,1.3672635657733008,0,1987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Strong La Nina,0,-1.013632097474446,25.97952458502155,-2.168114806208675,1.0,27.269399321235575,0.6224091945313176,0,1988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,La Nina,0,-0.837365180527605,26.15527358963378,1.5683096572226547,12.0,27.02050243439612,-0.11724237144644654,0,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Neutral,0,0.06336478358734615,27.056003428326193,0.06584307667076107,12.0,27.91263682847096,0.3011440816737117,0,1990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,El Nino,0,0.5482282972063445,27.540868347756653,0.2773640002439811,12.0,28.1479659293664,1.6051468064877799,1,1991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,El Nino,0,0.5956528159089711,27.58881407274713,-1.070362332544017,1.0,28.812992789755405,1.6556215598029114,2,1992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Neutral,0,0.2991253936555873,27.291764018663585,0.22131804156700913,5.0,28.52472739746555,0.7714804624436539,0,1993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Neutral,0,0.39826013710149794,27.39089730522453,0.3448875686152535,12.0,27.992694287935603,1.250052915509319,0,1994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Neutral,0,-0.18118597941562528,26.811448603243146,-0.8997464258872032,1.0,27.864811048024695,0.710048951046597,0,1995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Neutral,0,-0.4499298233510219,26.5432265223974,0.5812274411273799,7.0,27.363050423979253,-0.21843607360533573,0,1996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,El Nino,3,0.9881713814071694,27.98080655504033,1.6663827667906537,11.0,28.939855220096927,2.3519120038387102,5,1997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Neutral,1,-0.15031816432617967,26.84231898828968,-2.6152623838460527,1.0,28.595550513325627,2.008081906900691,2,1998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Strong La Nina,0,-1.1214744092818973,25.871166847262515,0.7274571867009043,5.0,26.93743235672208,-0.8158064092782915,0,1999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,La Nina,0,-0.8737883935941725,26.119367132431034,1.3093712336424892,8.0,26.998081006504503,-0.4152201909629331,0,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Neutral,0,-0.2979180846750504,26.694722454283323,0.8355636978756885,7.0,27.53809438762844,0.045366452857277195,0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
